strain [mm/mm], stress [MPa]
0,0
0.00076,5
0.00114,7.5
0.00152,10
0.0019,12.5
0.00228,15
0.00266,17.5
0.00305,20
0.00344,22.5
0.00383,25
0.00424,27.5
0.00465,30
0.00507,32.5
0.00551,35
0.00587,37
0.00596,37.5
0.00644,40
0.00746,45
0.0086,50
0.00991,55
0.01142,60
0.01319,65
0.01527,70
0.01772,75
0.02,79
