strain [mm/mm], stress [MPa]
0,0
0.001,5.83
0.002,11.66
0.003,17.49
0.004,23.32
0.005,29.15
0.006,34.98
0.007,37.705
0.008,41.298
0.009,44.535
0.01,47.446
0.011,50.056
0.012,52.391
0.013,54.475
0.014,56.331
0.015,57.982
0.016,59.447
0.017,60.748
0.018,61.902
0.019,62.927
0.02,63.839
0.021,64.653
0.022,65.382
0.023,66.041
0.024,66.639
0.025,67.188
0.026,67.696
0.027,68.173
0.028,68.624
0.029,69.055
0.03,69.472
0.032,70.273
0.034,71.039
0.035,71.409
0.037,72.109
