num4_x,num4_y,num5_x,num5_y,num6f_x,num6f_y,num6m_x,num6m_y
-961.7619878,-35.41476373,-1058.025526,-71.07090467,-719.3546917,12.44350668,-503.2909929,29.00785858
-937.752502,-30.11475878,-1053.375105,-79.71748582,-669.0313288,17.38612116,-456.432361,31.70898837
-913.7422965,-24.7686418,-1049.943808,-64.27033984,-616.3235027,21.80235147,-390.8518659,34.10711403
-889.7335303,-19.51474888,-1041.069929,-57.81571117,-577.9959204,24.66926784,-331.5182497,36.20523931
-865.7233248,-14.1686319,-1036.710946,-85.13766413,-750.1670841,9.187933902,-269.0682341,38.0022378
-753.380663,9.242807983,-1029.019011,-52.20685349,-506.4120856,29.00823405,-181.6588632,39.19472991
-828.4384586,-6.441747737,-1017.648717,-90.21229006,,,-84.90029399,39.48384166
-800.2500629,-0.129349348,-1012.191443,-47.15575851,,,,
-775.1921467,5.58192188,-996.1992111,-95.63304405,,,,
-988.158621,-41.30975133,-969.9673576,-101.2465072,,,,
,,-910.3127812,-111.6508679,,,,
,,-794.6843186,-123.0017711,,,,
,,-743.0589686,-126.6214947,,,,
,,-690.4702037,-129.8347092,,,,
,,-637.8800215,-132.957097,,,,
,,-494.4060922,-138.5147976,,,,
,,-441.7822196,-139.478304,,,,
,,-389.1582379,-140.4348238,,,,
,,-336.5346923,-141.4192902,,,,
,,-283.9097294,-142.31293,,,,
,,-231.2859658,-143.2834231,,,,
,,-178.6614389,-144.2050095,,,,
,,-145.1619429,-144.0762925,,,,
,,-562.0426308,-135.7971036,,,,
,,-861.3906275,-118.0167309,,,,
,,-991.2844071,-41.61012717,,,,
