num1_x,num1_y,num2_x,num2_y,num3_x,num3_y,num4_x,num4_y,num5_x,num5_y,num6_x,num6_y
-166.6666667,-144.7467167,-151.3409962,40.24390244,1270.114943,40.61913696,-1128.923249,-79.97822177,-746.375971,8.441808807,-1124.452529,-85.99239203
-1.915708812,-144.7467167,1270.114943,40.61913696,1220.306513,-145.1219512,-1095.500721,-72.0932234,-674.8479736,15.24409804,-1119.343386,-90.14079747
1220.306513,-145.1219512,,,,,-1080.173293,-68.39048488,-637.3809273,18.67087488,-1110.14693,-94.48597543
,,,,,,-1063.142817,-64.45900575,-599.913881,21.62760712,-1097.203768,-98.89082052
,,,,,,-1046.112341,-60.58471178,-562.4468347,24.17494566,-1078.470245,-103.8834019
,,,,,,-1029.081866,-56.64846722,-524.9797884,26.64647056,-1059.736722,-108.1198685
,,,,,,-1012.05139,-52.71222266,-487.5127421,28.78441541,-1041.003199,-111.5668623
,,,,,,-995.0209146,-48.77597811,-450.0456958,30.78589569,-1017.160533,-115.5420245
,,,,,,-977.990439,-44.83973355,-412.5786495,32.71156232,-988.2087244,-119.4430579
,,,,,,-949.281923,-37.30558991,-375.1116032,34.42495075,-951.0822876,-123.9315627
,,,,,,-962.663011,-41.36216156,-337.6445569,36.00035833,-912.5934128,-127.0505362
,,,,,,-926.8990123,-33.06435788,-262.7104643,38.3839394,-874.2937655,-129.9878938
,,,,,,-909.8685367,-29.16147133,-225.243418,39.03442049,-835.3128991,-132.3229541
,,,,,,-892.8380611,-25.25858478,-187.7763718,39.70158059,-796.3320328,-134.5468211
,,,,,,-875.8075855,-21.32234022,-153.7154206,39.85994687,-759.1488277,-136.34908
,,,,,,-858.7771099,-17.38609567,-300.7662835,37.24202627,-719.552972,-137.954434
,,,,,,-841.7466343,-13.44985111,-714.559387,11.35084428,-679.3894337,-139.3466674
,,,,,,-824.7161587,-9.546964559,,,-642.0643081,-140.2060993
,,,,,,-783.5249042,0.469043152,,,-565.8529298,-141.4778732
,,,,,,-749.0421456,7.598499062,,,-225.243418,-144.6772091
,,,,,,,,,,-187.7763718,-144.7803157
,,,,,,,,,,-369.7318008,-143.2457786
,,,,,,,,,,-477.0114943,-142.120075
,,,,,,,,,,-1124.521073,-80.58161351
