# Sig11,Sig12,gammac
-8.033446448860948976e+02,0.000000000000000000e+00,1.960730905843391728e-02
-7.991061940409781528e+02,3.383838383838383979e-01,1.968066279390138368e-02
-7.948717533066967462e+02,6.767676767676767957e-01,1.975476223425635253e-02
-7.906413560424742855e+02,1.015151515151515138e+00,1.982961852544077794e-02
-7.864150360108694713e+02,1.353535353535353591e+00,1.990524302707159798e-02
-7.821928273822362598e+02,1.691919191919192045e+00,1.998164731666530330e-02
-7.779747647465178488e+02,2.030303030303030276e+00,2.005884319829578932e-02
-7.737608831204405533e+02,2.368686868686868952e+00,2.013684270047247024e-02
-7.695512179354437876e+02,2.707070707070707183e+00,2.021565808891155266e-02
-7.653458050730544073e+02,3.045454545454545414e+00,2.029530186804852018e-02
-7.611446808558247312e+02,3.383838383838384090e+00,2.037578678745172525e-02
-7.569478820592019019e+02,3.722222222222222321e+00,2.045712584742323190e-02
-7.527554459202690396e+02,4.060606060606060552e+00,2.053933230472576241e-02
-7.485674101472066013e+02,4.398989898989898784e+00,2.062241967838471940e-02
-7.443838129296406123e+02,4.737373737373737903e+00,2.070640175554262774e-02
-7.402046929500953638e+02,5.075757575757576134e+00,2.079129259733595442e-02
-7.360300893968078526e+02,5.414141414141414366e+00,2.087710654475569833e-02
-7.318600419782272866e+02,5.752525252525252597e+00,2.096385822444225486e-02
-7.276945909395933541e+02,6.090909090909090828e+00,2.105156255435238974e-02
-7.235337770820738115e+02,6.429292929292929948e+00,2.114023474921991261e-02
-7.193776417850330063e+02,6.767676767676768179e+00,2.122989032571374196e-02
-7.152262269623836346e+02,7.106060606060606410e+00,2.132054514192841671e-02
-7.110795753286623722e+02,7.444444444444444642e+00,2.141221528538398214e-02
-7.069377301285212525e+02,7.782828282828282873e+00,2.150491722830685098e-02
-7.028007353621661650e+02,8.121212121212121104e+00,2.159866774054598412e-02
-6.986686357969637129e+02,8.459595959595960224e+00,2.169348391116246791e-02
-6.945413698240639633e+02,8.797979797979797567e+00,2.178939838154454745e-02
-6.904191657253302310e+02,9.136363636363636687e+00,2.188640321219491661e-02
-6.863019870250503800e+02,9.474747474747475806e+00,2.198452831013834180e-02
-6.821898797836940957e+02,9.813131313131313149e+00,2.208379242415589236e-02
-6.780828906581601814e+02,1.015151515151515227e+01,2.218421470394645739e-02
-6.739810669111008110e+02,1.048989898989898961e+01,2.228581471050295262e-02
-6.698844564204042626e+02,1.082828282828282873e+01,2.238861242680323382e-02
-6.657931076888509097e+02,1.116666666666666785e+01,2.249262826882587885e-02
-6.617070698539382647e+02,1.150505050505050519e+01,2.259788309690234642e-02
-6.576263926978904237e+02,1.184343434343434431e+01,2.270439822741630864e-02
-6.535511266578533878e+02,1.218181818181818166e+01,2.281219544486191506e-02
-6.494813228362935433e+02,1.252020202020202078e+01,2.292129701427193800e-02
-6.454170330116076002e+02,1.285858585858585990e+01,2.303172569402753972e-02
-6.413583096489740001e+02,1.319696969696969724e+01,2.314350474905969152e-02
-6.373052059114668282e+02,1.353535353535353636e+01,2.325665796445219521e-02
-6.332577756714802035e+02,1.387373737373737370e+01,2.337120965945423817e-02
-6.292160735225171493e+02,1.421212121212121282e+01,2.348718470190776925e-02
-6.251801547914249113e+02,1.455050505050505194e+01,2.360460852309125349e-02
-6.211500755511939360e+02,1.488888888888888928e+01,2.372350713297505936e-02
-6.171258926344737574e+02,1.522727272727272840e+01,2.384390713587620364e-02
-6.131076636480282787e+02,1.556565656565656575e+01,2.396583574648759526e-02
-6.090954469884355831e+02,1.590404040404040487e+01,2.408932080624026292e-02
-6.050893018594393880e+02,1.624242424242424221e+01,2.421439079993509963e-02
-6.010892882915193240e+02,1.658080808080808310e+01,2.434107487254799293e-02
-5.970954671644400378e+02,1.691919191919192045e+01,2.446940284607023938e-02
-5.931079002337899055e+02,1.725757575757575779e+01,2.459940523618936795e-02
-5.891266501628682590e+02,1.759595959595959513e+01,2.473111326853882908e-02
-5.851517805616961141e+02,1.793434343434343603e+01,2.486455889414591197e-02
-5.811833560354907604e+02,1.827272727272727337e+01,2.499977480357587836e-02
-5.772214422456229386e+02,1.861111111111111072e+01,2.513679443910250833e-02
-5.732661059869695919e+02,1.894949494949495161e+01,2.527565200401734463e-02
-5.693174152866238273e+02,1.928787878787878896e+01,2.541638246791709868e-02
-5.653754395302735247e+02,1.962626262626262630e+01,2.555902156646102513e-02
-5.614401581055392398e+02,1.996464646464646719e+01,2.570362346583793950e-02
-5.575117888150946328e+02,2.030303030303030454e+01,2.585019762656094386e-02
-5.535903379467731611e+02,2.064141414141414188e+01,2.599879514797044308e-02
-5.496758771630039746e+02,2.097979797979797922e+01,2.614945578716703148e-02
-5.457684791318177986e+02,2.131818181818182012e+01,2.630222029484606538e-02
-5.418682175431707719e+02,2.165656565656565746e+01,2.645713044537943703e-02
-5.379751671255532983e+02,2.199494949494949481e+01,2.661422906796984122e-02
-5.340894036629085804e+02,2.233333333333333570e+01,2.677356007891936243e-02
-5.302110040118755023e+02,2.267171717171717304e+01,2.693516851505521267e-02
-5.263400461194030413e+02,2.301010101010101039e+01,2.709910056835349371e-02
-5.224766090407894126e+02,2.334848484848484773e+01,2.726540362179951521e-02
-5.186207729582494039e+02,2.368686868686868863e+01,2.743412628651590440e-02
-5.147726192001528034e+02,2.402525252525252597e+01,2.760531844017985459e-02
-5.109322302611837472e+02,2.436363636363636331e+01,2.777903126672896794e-02
-5.070996898237817163e+02,2.470202020202020421e+01,2.795531729732500525e-02
-5.032750827814446097e+02,2.504040404040404155e+01,2.813423045249260554e-02
-4.994584952647604723e+02,2.537878787878787890e+01,2.831582608527141373e-02
-4.956500146714828361e+02,2.571717171717171979e+01,2.850016102509964067e-02
-4.918497297025992339e+02,2.605555555555555713e+01,2.868729362196756685e-02
-4.880577304072560878e+02,2.639393939393939448e+01,2.887728379011509153e-02
-4.842741082406918736e+02,2.673232323232323182e+01,2.907019305016534522e-02
-4.804989561411190948e+02,2.707070707070707272e+01,2.926608456803929739e-02
-4.767323686339436790e+02,2.740909090909091006e+01,2.946502318822956379e-02
-4.729744419750091993e+02,2.774747474747474740e+01,2.966707545794577960e-02
-4.692252743489420936e+02,2.808585858585858830e+01,2.987230963719003651e-02
-4.654849126813091971e+02,2.842424242424242564e+01,3.008080940173986362e-02
-4.617535368490060819e+02,2.876262626262626299e+01,3.029262692196657558e-02
-4.580312138153651063e+02,2.910101010101010388e+01,3.050784546655467208e-02
-4.543180459484287326e+02,2.943939393939394122e+01,3.072654184468739599e-02
-4.506141371201954371e+02,2.977777777777777857e+01,3.094879507345949660e-02
-4.469195927309831404e+02,3.011616161616161591e+01,3.117468645548334902e-02
-4.432345197342210099e+02,3.045454545454545681e+01,3.140429965976222065e-02
-4.395590266617080033e+02,3.079292929292929415e+01,3.163772080599087932e-02
-4.358932236494399035e+02,3.113131313131313149e+01,3.187503855242456580e-02
-4.322372224641605385e+02,3.146969696969697239e+01,3.211634418745877573e-02
-4.285911365309447660e+02,3.180808080808080973e+01,3.236173172501947276e-02
-4.249550809623351597e+02,3.214646464646465063e+01,3.261129800380078991e-02
-4.213291725899837274e+02,3.248484848484848442e+01,3.286514279025554847e-02
-4.177135300004024430e+02,3.282323232323232531e+01,3.312336888501898197e-02
-4.141082735775723336e+02,3.316161616161616621e+01,3.338608223204707348e-02
-4.105135255569413744e+02,3.350000000000000000e+01,3.365339202909319732e-02
