num1_x,num1_y,num2_x,num2_y
4.981266115,62.79999783,-129.95631,3.225957111
7.366982703,60.8403682,-127.6428878,25.61021075
9.752699291,58.71499874,-126.9922379,28.50961301
12.13841588,56.51163408,-126.612692,30.37488237
14.4156908,54.24879808,-126.0162629,32.82105354
16.36764074,52.32914099,-125.2571713,35.25062752
18.64491566,49.30682663,-124.3896379,37.60596097
20.70530726,46.92675408,-123.5221046,40.14092714
22.44037387,44.64783156,-122.5461297,42.72299104
24.06699882,42.40146507,-121.3532714,45.57935976
25.5851821,40.01146902,-120.2688547,47.96790888
26.88648206,37.93707501,-119.2928798,50.29366102
28.18778202,35.55320715,-118.2084631,52.62942255
29.59752364,32.9002094,-116.9071632,55.11134152
30.79038193,30.33351705,-115.3889799,57.78323455
33.87012516,23.13748406,-113.8707966,60.37239694
34.60752847,20.41588457,-112.3526133,62.94623884
35.21480178,17.5608266,-110.6175467,65.42475327
35.77869843,14.72840892,-108.4487135,67.6454502
36.25584175,11.62919345,-106.0629969,69.80006785
36.61008452,8.924157104,-103.6772803,71.8864397
36.94986839,5.472961948,-101.2915637,73.90456574
37.29688171,2.53244971,-98.90584712,75.76670136
2.234636872,64.91712707,-96.52013053,77.52159357
0,66.57458564,-94.13441394,79.13024476
37.4301676,0,-91.74869736,80.74864535
32.40223464,26.51933702,-89.36298077,82.32219869
,,-86.97726418,83.52722467
,,-84.59154759,84.45341778
,,-82.20583101,85.31136509
,,-79.82011442,86.11081598
,,-77.43439783,86.84202107
,,-75.04868124,87.51472975
,,-72.66296465,88.20693723
,,-70.27724807,88.55791567
,,-67.89153148,88.50916866
,,-65.50581489,88.37267705
,,-63.1200983,88.35317824
,,-60.82113505,88.05192175
,,-58.36673874,88.13950387
,,-55.96294854,87.66097076
,,-53.57723195,87.02725969
,,-51.19151536,86.257057
,,-48.80579878,85.4673555
,,-46.42008219,84.5704106
,,-44.0343656,83.64421749
,,-41.64864901,82.68877618
,,-39.26293242,81.75283366
,,-36.87721584,80.85588876
,,-34.49149925,79.92969565
,,-32.10578266,78.94500613
,,-29.72006607,78.05781063
,,-27.33434948,77.18036452
,,-24.9486329,76.28341962
,,-22.56291631,75.31822891
,,-20.17719972,74.4017852
,,-17.79148313,73.49509089
,,-15.40576654,72.62739419
,,-13.02004996,71.72069988
,,-10.69939837,70.85007836
,,-8.248616781,69.54658342
,,0,66.57458564
,,-4.469273743,68.2320442
,,-128.2122905,19.61325967
,,-129.0502793,11.60220994
,,-130.1675978,0
