num1_x,num1_y,num2_x,num2_y
-137.5197249,0.103806228,0.992397635,60.34444794
-137.6590107,2.040009281,3.798678041,58.70579248
-137.6280841,5.650024716,6.603631602,56.68898575
-137.59164,8.750865052,9.408263502,54.580506
-137.4794772,11.57439446,12.21225208,52.28868018
-137.4715162,13.84330203,15.01575817,49.85934481
-137.461786,16.61641127,17.81846012,47.20082685
-137.4520557,19.38952051,20.49318972,44.49876421
-137.4423255,22.16262976,23.04011586,41.80128522
-137.4325953,24.935739,25.33144713,39.11641127
-137.4228651,27.70884825,27.36705085,36.40632724
-137.4131349,30.48195749,29.27442432,33.57919638
-137.2983185,34.06178942,30.92616923,30.75506673
-136.8773838,37.4567474,32.32273417,28.06178942
-136.2264918,40.81809194,33.59066871,25.13741967
-135.5764476,43.93783984,34.73060679,22.16262976
-134.7993947,46.8264953,35.74265898,19.16893228
-133.8942274,49.79918438,36.62578592,15.86010875
-132.8609456,52.85590707,37.51090312,13.11851211
-131.7010606,55.5659911,38.29134983,9.688680178
-130.2847994,58.48615917,38.99765677,6.98615917
-128.740866,61.36431043,39.64843077,3.028175976
-127.0694185,64.15542688,40.40641396,0.481957489
-125.1423477,66.94204152,,
-123.0875047,69.71515077,,
-120.7770889,72.46935245,,
-118.0827903,75.34444794,,
-115.2617136,77.92275199,,
-112.4416822,80.20311868,,
-109.6228973,82.12825237,,
-106.8051578,83.7554487,,
-103.9883832,85.10762594,,
-101.1723726,86.24207972,,
-98.35692487,87.21610569,,
-95.54208027,88.01824473,,
-92.72747692,88.75162899,,
-89.91347668,89.31312632,,
-87.09999913,89.72565497,,
-84.28732574,89.90900103,,
-81.47815039,89.09540287,,
-78.66957816,88.10991776,,
-75.86088531,87.15881005,,
-73.05195121,86.27645711,,
-70.24313773,85.35972678,,
-67.43436446,84.43153732,,
-64.62559119,83.50334786,,
-61.81689833,82.55224015,,
-59.00836631,81.55529592,,
-56.19975387,80.58126994,,
-53.39126205,79.57286658,,
-50.58289085,78.53008583,,
-47.77431862,77.54460073,,
-44.96574639,76.55911562,,
-42.15717416,75.57363052,,
-39.34868234,74.56522716,,
-36.54015031,73.56828293,,
-33.73157808,72.58279783,,
-30.92308626,71.57439446,,
-28.11447382,70.60036849,,
-25.30578097,69.64926077,,
-22.4970479,68.70961219,,
-19.68851588,67.71266795,,
-16.87994365,66.72718285,,
-14.07141162,65.73023862,,
-11.26259814,64.81350829,,
-8.453824874,63.88531883,,
-5.645051604,62.95712938,,
-2.836358748,62.00602166,,
-1.049136683,61.36431043,,
